id,track_artist,track_name,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genreVerbose,genreFamily
7269,Josh Garrett,The Truth (End of Story),228494,1,,2,0.884,0.77,0,-7.551,0,0.217,0.375,0,0.357,0.35,112.972,unknown,unknown
7270,Joseph Canteloube,Chants d'Auvergne: 2. Bailero - Live,400053,0,,5,0.141,0.0637,10,-25.811,1,0.0452,0.979,0.0138,0.0883,0.0392,85.064,unknown,unknown
7271,Jorge Fern‡ndez,Fallaste coraz—n,196880,0,,1,0.398,0.386,9,-6.247,1,0.0369,0.867,1.84E-06,0.155,0.384,92.949,unknown,unknown
7272,Jorge Drexler,La Edad Del Cielo,221013,0,,0,0.634,0.366,7,-9.951,1,0.0346,0.547,5.91E-05,0.1,0.288,147.537,unknown,unknown
7273,Jordis,Man Who Sold The World,191160,0,,15,0.67,0.654,1,-7.06,0,0.0274,0.181,0.0472,0.589,0.348,115.416,unknown,unknown
7274,Jor Posada,Mi Ultimo Aliento,218080,0,,7,0.547,0.628,0,-6.027,1,0.0291,0.651,0,0.0981,0.555,103.767,unknown,unknown
7275,Jor Posada,Mi Corazon y Tus Mentiras,208427,0,,5,0.602,0.612,10,-6.463,1,0.0282,0.646,0.000331,0.323,0.587,103.693,unknown,unknown
7276,Jor Posada,Las Ganas,194853,0,,3,0.676,0.649,0,-6.937,1,0.0692,0.482,1.46E-06,0.149,0.967,163.901,unknown,unknown
7277,Jor Posada,La Vida Me da Sorpresas,175560,0,,2,0.741,0.736,5,-4.846,1,0.0569,0.568,0,0.036,0.925,105.846,unknown,unknown
7278,Jor Posada,Ansias de Amor,268747,0,,1,0.568,0.491,2,-7.449,0,0.0253,0.618,0.239,0.237,0.371,86.88,unknown,unknown
7279,Jor Posada,Me Equivoque Contigo,194533,0,,3,0.555,0.669,0,-6.168,1,0.0272,0.394,0.000155,0.274,0.722,105.889,unknown,unknown
7280,Jor Posada,Algo Esta Pasando ( Sin Mi ),189933,0,,1,0.83,0.554,0,-6.412,1,0.044,0.29,1.52E-05,0.176,0.961,112.99,unknown,unknown
7281,Jor Posada,Ya Estufas,192240,0,,2,0.693,0.662,2,-5.555,1,0.0467,0.501,0,0.0348,0.857,103.717,unknown,unknown
7282,Jor Posada,Como el Sol,157693,0,,2,0.671,0.671,5,-5.777,1,0.056,0.67,2.17E-06,0.233,0.875,106.768,unknown,unknown
7283,Jor Posada,Recuerdos,258013,0,,1,0.304,0.488,5,-8.879,1,0.0307,0.628,0.91,0.15,0.158,172.064,unknown,unknown
